file_name,entropy_bucket,depth,spatial_entropy,visual_entropy,spatial_espinometry,visual_espinometry,stopped_ratio,survival_rate,belief_state_entropy,decision_difficulty,pursue_rate,visited_cells
../poster/thig/01/07_01.json,01,thig,0.50465,0.868782,0.256729,0.83124,0.868413,0.06,0,0,0.919433,31.43
../poster/thig/01/18_01.json,01,thig,0.50696,0.935271,0.306818,0.906262,0.852459,0,0,0,0.894426,31
../poster/thig/02/14_02.json,02,thig,0.640733,0.931846,0.403868,0.929121,0.856505,0.19,0,0,0.871611,31.86
../poster/thig/01/03_01.json,01,thig,0.520053,0.88891,0.298849,0.87334,0.852459,0.01,0,0,0.919016,31
../poster/thig/01/13_01.json,01,thig,0.454293,0.896351,0.302434,0.872776,0.85451,0.02,0,0,0.900531,31.43
../poster/thig/01/02_01.json,01,thig,0.494005,0.942199,0.272268,0.902467,0.891857,0.03,0,0,0.876872,31.57
../poster/thig/01/00_01.json,01,thig,0.517333,0.810408,0.325452,0.803011,0.852459,0.02,0,0,0.916393,31
../poster/thig/02/01_02.json,02,thig,0.583925,0.896755,0.385079,0.895718,0.856505,0.15,0,0,0.902209,31.86
../poster/thig/01/15_01.json,01,thig,0.433595,0.793652,0.234918,0.741309,0.855166,0,0,0,0.922691,31.57
../poster/thig/01/10_01.json,01,thig,0.521308,0.930756,0.366506,0.937317,0.852459,0.11,0,0,0.920327,31
../poster/thig/02/02_02.json,02,thig,0.651295,0.940997,0.320384,0.947813,0.891857,0.08,0,0,0.883601,31.57
../poster/thig/01/12_01.json,01,thig,0.521308,0.883798,0.292921,0.887287,0.852459,0.25,0,0,0.904262,31
../poster/thig/02/03_02.json,02,thig,0.578348,0.952331,0.34086,0.936078,0.877988,0,0,0,0.909112,32.71
../poster/thig/01/14_01.json,01,thig,0.521308,0.927446,0.33377,0.935025,0.852459,0,0,0,0.925901,31
../poster/thig/01/19_01.json,01,thig,0.457779,0.851876,0.271581,0.855435,0.868694,0.03,0,0,0.908135,30.43
../poster/thig/01/01_01.json,01,thig,0.517333,0.810408,0.325452,0.803011,0.852459,0.02,0,0,0.916393,31
../poster/thig/02/06_02.json,02,thig,0.668162,0.948998,0.397983,0.964124,0.852459,0.51,0,0,0.891147,31
../poster/thig/01/04_01.json,01,thig,0.517333,0.857732,0.339191,0.864921,0.852459,0.3,0,0,0.89836,31
../poster/thig/00/00_00.json,00,thig,0.484465,0,0.241987,0.13079,0.852459,0,0,0,0.983607,31
../poster/thig/01/16_01.json,01,thig,0.508824,0.937262,0.330183,0.929015,0.852459,0.15,0,0,0.904262,31
../poster/thig/02/08_02.json,02,thig,0.564769,0.941791,0.341768,0.909464,0.887515,0.18,0,0,0.894992,32.86
../poster/thig/01/05_01.json,01,thig,0.520053,0.846481,0.280146,0.83498,0.852459,0.34,0,0,0.915737,31
../poster/thig/01/11_01.json,01,thig,0.520053,0.871935,0.304714,0.862286,0.852459,0.26,0,0,0.906557,31
../poster/thig/01/09_01.json,01,thig,0.507866,0.86372,0.306758,0.853526,0.855166,0.01,0,0,0.925449,31.57
../poster/thig/01/06_01.json,01,thig,0.50356,0.851383,0.261765,0.815869,0.852459,0.2,0,0,0.929508,31
../poster/thig/02/17_02.json,02,thig,0.597156,0.944216,0.393288,0.935468,0.855166,0.05,0,0,0.89681,31.57
../poster/thig/01/17_01.json,01,thig,0.520053,0.902081,0.324967,0.914693,0.852459,0,0,0,0.901639,31
../poster/thig/02/05_02.json,02,thig,0.590896,0.938255,0.359797,0.930151,0.888889,0.32,0,0,0.92254,32
../poster/thig/02/10_02.json,02,thig,0.658098,0.954718,0.394402,0.959943,0.852459,0.15,0,0,0.872459,31
../poster/thig/01/08_01.json,01,thig,0.454293,0.909557,0.263645,0.866333,0.85451,0.26,0,0,0.894062,31.43
../poster/thig/02/00_02.json,02,thig,0.583925,0.896755,0.385079,0.895718,0.856505,0.15,0,0,0.902209,31.86
../poster/thig/02/12_02.json,02,thig,0.663918,0.939826,0.375491,0.927612,0.852459,0.37,0,0,0.866885,31
../poster/thig/02/13_02.json,02,thig,0.597587,0.943604,0.382235,0.942705,0.85451,0.14,0,0,0.884918,31.43
../poster/thig/02/04_02.json,02,thig,0.669826,0.936112,0.392238,0.948221,0.852459,0.3,0,0,0.910819,31
../poster/thig/02/18_02.json,02,thig,0.656227,0.927963,0.394822,0.948621,0.852459,0.21,0,0,0.871803,31
../poster/thig/02/11_02.json,02,thig,0.66706,0.918246,0.367642,0.92445,0.852459,0.56,0,0,0.900328,31
../poster/thig/03/19_03.json,03,thig,0.68607,0.947258,0.406446,0.943145,0.868694,0.42,0,0,0.841722,30.43
../poster/thig/03/15_03.json,03,thig,0.697999,0.942167,0.454956,0.939312,0.876928,0.26,0,0,0.892804,33.57
../poster/thig/02/07_02.json,02,thig,0.647958,0.907125,0.369101,0.917413,0.868413,0.13,0,0,0.915129,31.43
../poster/thig/03/11_03.json,03,thig,0.695916,0.945174,0.440403,0.931751,0.85451,0.48,0,0,0.874041,31.43
../poster/thig/02/16_02.json,02,thig,0.576661,0.958911,0.425317,0.959289,0.855166,0.2,0,0,0.872423,31.57
../poster/thig/04/06_04.json,04,thig,0.782476,0.944461,0.459224,0.910395,0.873511,0.69,0,0,0.786594,31.57
../poster/thig/02/15_02.json,02,thig,0.579447,0.913424,0.38162,0.922568,0.875238,0.37,0,0,0.905397,32
../poster/thig/03/03_03.json,03,thig,0.67173,0.954341,0.371583,0.940788,0.860292,0.25,0,0,0.884194,32.71
../poster/thig/03/13_03.json,03,thig,0.684218,0.936162,0.425106,0.933468,0.877456,0.27,0,0,0.892298,32.57
../poster/thig/02/19_02.json,02,thig,0.594095,0.95265,0.363069,0.944269,0.868694,0.35,0,0,0.90424,30.43
../poster/thig/03/18_03.json,03,thig,0.770398,0.937372,0.486919,0.961542,0.852459,0.58,0,0,0.827213,31
../poster/thig/02/09_02.json,02,thig,0.647292,0.893108,0.361432,0.879886,0.87579,0.1,0,0,0.914028,32.14
../poster/thig/03/16_03.json,03,thig,0.692535,0.947172,0.447094,0.936905,0.855166,0.26,0,0,0.877736,31.57
../poster/thig/03/01_03.json,03,thig,0.688856,0.949648,0.448661,0.934726,0.856505,0.4,0,0,0.886562,31.86
../poster/thig/04/17_04.json,04,thig,0.785855,0.945086,0.534653,0.926634,0.857775,0.35,0,0,0.870421,32.14
../poster/thig/03/12_03.json,03,thig,0.773353,0.949582,0.442243,0.944052,0.85451,0.58,0,0,0.852646,31.43
../poster/thig/03/00_03.json,03,thig,0.688856,0.949648,0.448661,0.934726,0.856505,0.4,0,0,0.886562,31.86
../poster/thig/03/10_03.json,03,thig,0.678039,0.929902,0.452611,0.931211,0.852459,0.21,0,0,0.847213,31
../poster/thig/03/04_03.json,03,thig,0.782171,0.94619,0.476407,0.931709,0.852459,0.36,0,0,0.863934,31
../poster/thig/04/14_04.json,04,thig,0.717486,0.939681,0.524726,0.911922,0.895522,0.36,0,0,0.872836,34
../poster/thig/04/05_04.json,04,thig,0.707827,0.940076,0.463759,0.92242,0.890385,0.37,0,0,0.860059,32.43
../poster/thig/03/07_03.json,03,thig,0.769886,0.934935,0.461258,0.934872,0.872534,0.13,0,0,0.884406,32.43
../poster/thig/04/13_04.json,04,thig,0.780315,0.929764,0.509402,0.934475,0.892308,0.23,0,0,0.833846,33
